county_fips,county_nm,county_pop
5023,"Cleburne County, Arkansas",25445
5025,"Cleveland County, Arkansas",7378
5027,"Columbia County, Arkansas",22150
5029,"Conway County, Arkansas",21077
5031,"Craighead County, Arkansas",113993
5033,"Crawford County, Arkansas",61891
5035,"Crittenden County, Arkansas",47139
5037,"Cross County, Arkansas",16420
5039,"Dallas County, Arkansas",6185
5041,"Desha County, Arkansas",10479
5043,"Drew County, Arkansas",16945
5045,"Faulkner County, Arkansas",129951
5047,"Franklin County, Arkansas",17468
5049,"Fulton County, Arkansas",12421
5051,"Garland County, Arkansas",99784
5053,"Grant County, Arkansas",18383
5055,"Greene County, Arkansas",46743
5057,"Hempstead County, Arkansas",19343
5059,"Hot Spring County, Arkansas",33258
5061,"Howard County, Arkansas",12533
5063,"Independence County, Arkansas",38320
5065,"Izard County, Arkansas",14169
5067,"Jackson County, Arkansas",16784
5069,"Jefferson County, Arkansas",63661
5071,"Johnson County, Arkansas",26129
5073,"Lafayette County, Arkansas",6095
5075,"Lawrence County, Arkansas",16318
5077,"Lee County, Arkansas",8201
5079,"Lincoln County, Arkansas",12898
5081,"Little River County, Arkansas",11805
5083,"Logan County, Arkansas",21400
5085,"Lonoke County, Arkansas",75944
5087,"Madison County, Arkansas",17775
5089,"Marion County, Arkansas",17514
5091,"Miller County, Arkansas",42415
5093,"Mississippi County, Arkansas",38663
5095,"Monroe County, Arkansas",6512
5097,"Montgomery County, Arkansas",8620
5099,"Nevada County, Arkansas",8120
5101,"Newton County, Arkansas",7071
5103,"Ouachita County, Arkansas",21793
5105,"Perry County, Arkansas",10184
5107,"Phillips County, Arkansas",14961
5109,"Pike County, Arkansas",10208
5111,"Poinsett County, Arkansas",22397
5113,"Polk County, Arkansas",19436
5115,"Pope County, Arkansas",64593
5117,"Prairie County, Arkansas",8036
5119,"Pulaski County, Arkansas",400009
5121,"Randolph County, Arkansas",18907
5123,"St. Francis County, Arkansas",22101
5125,"Saline County, Arkansas",129574
5127,"Scott County, Arkansas",9851
5129,"Searcy County, Arkansas",7806
5131,"Sebastian County, Arkansas",129098
5133,"Sevier County, Arkansas",15632
5135,"Sharp County, Arkansas",17968
5137,"Stone County, Arkansas",12671
5139,"Union County, Arkansas",37397
5141,"Van Buren County, Arkansas",16142
5143,"Washington County, Arkansas",261549
5145,"White County, Arkansas",78452
5147,"Woodruff County, Arkansas",5964
5149,"Yell County, Arkansas",20044
6001,"Alameda County, California",1622188
6003,"Alpine County, California",1141
6005,"Amador County, California",41811
6007,"Butte County, California",207172
6009,"Calaveras County, California",46565
6011,"Colusa County, California",22037
6013,"Contra Costa County, California",1155025
6015,"Del Norte County, California",26589
6017,"El Dorado County, California",192215
6019,"Fresno County, California",1017162
6021,"Glenn County, California",28129
6023,"Humboldt County, California",133985
6025,"Imperial County, California",179057
6027,"Inyo County, California",18527
6029,"Kern County, California",913820
6031,"Kings County, California",152682
6033,"Lake County, California",67878
6035,"Lassen County, California",28861
6037,"Los Angeles County, California",9663345
6039,"Madera County, California",162858
6041,"Marin County, California",254407
6043,"Mariposa County, California",16919
6045,"Mendocino County, California",89108
6047,"Merced County, California",291920
6049,"Modoc County, California",8500
6051,"Mono County, California",13066
6053,"Monterey County, California",430723
6055,"Napa County, California",133216
6057,"Nevada County, California",102037
6059,"Orange County, California",3135755
6061,"Placer County, California",423561
6063,"Plumas County, California",19131
6065,"Riverside County, California",2492442
6067,"Sacramento County, California",1584288
6069,"San Benito County, California",68175
6071,"San Bernardino County, California",2195611
6073,"San Diego County, California",3269973
6075,"San Francisco County, California",808988
6077,"San Joaquin County, California",800965
6079,"San Luis Obispo County, California",281639
6081,"San Mateo County, California",726353
6083,"Santa Barbara County, California",441257
6085,"Santa Clara County, California",1877592
6087,"Santa Cruz County, California",261547
6089,"Shasta County, California",180366
6091,"Sierra County, California",3200
6093,"Siskiyou County, California",42905
6095,"Solano County, California",449218
6097,"Sonoma County, California",481812
6099,"Stanislaus County, California",551430
6101,"Sutter County, California",97948
6103,"Tehama County, California",64896
6105,"Trinity County, California",15670
6107,"Tulare County, California",479468
6109,"Tuolumne County, California",54204
6111,"Ventura County, California",829590
6113,"Yolo County, California",220544
6115,"Yuba County, California",85722
8001,"Adams County, Colorado",533365
8003,"Alamosa County, Colorado",16655
8005,"Arapahoe County, Colorado",656061
8007,"Archuleta County, Colorado",14189
8009,"Baca County, Colorado",3344
8011,"Bent County, Colorado",5681
8013,"Boulder County, Colorado",326831
8014,"Broomfield County, Colorado",76860
8015,"Chaffee County, Colorado",20617
8017,"Cheyenne County, Colorado",1727
8019,"Clear Creek County, Colorado",9147
8021,"Conejos County, Colorado",7521
8023,"Costilla County, Colorado",3628
8025,"Crowley County, Colorado",5636
8027,"Custer County, Colorado",5534
8029,"Delta County, Colorado",31746
8031,"Denver County, Colorado",716577
8033,"Dolores County, Colorado",2513
8035,"Douglas County, Colorado",383906
8037,"Eagle County, Colorado",54381
8039,"Elbert County, Colorado",28806
8041,"El Paso County, Colorado",744215
8043,"Fremont County, Colorado",50318
8045,"Garfield County, Colorado",62707
8047,"Gilpin County, Colorado",5926
8049,"Grand County, Colorado",15935
8051,"Gunnison County, Colorado",17321
8053,"Hinsdale County, Colorado",765
8055,"Huerfano County, Colorado",7055
8057,"Jackson County, Colorado",1309
8059,"Jefferson County, Colorado",576366
8061,"Kiowa County, Colorado",1384
8063,"Kit Carson County, Colorado",6994
8065,"Lake County, Colorado",7365
8067,"La Plata County, Colorado",56407
8069,"Larimer County, Colorado",370771
8071,"Las Animas County, Colorado",14348
8073,"Lincoln County, Colorado",5480
8075,"Logan County, Colorado",20619
8077,"Mesa County, Colorado",159681
8079,"Mineral County, Colorado",944
8081,"Moffat County, Colorado",13327
8083,"Montezuma County, Colorado",26531
8085,"Montrose County, Colorado",44156
8087,"Morgan County, Colorado",29524
8089,"Otero County, Colorado",18136
8091,"Ouray County, Colorado",5176
8093,"Park County, Colorado",18117
8095,"Phillips County, Colorado",4476
8097,"Pitkin County, Colorado",16640
8099,"Prowers County, Colorado",11751
8101,"Pueblo County, Colorado",169422
8103,"Rio Blanco County, Colorado",6569
8105,"Rio Grande County, Colorado",11188
8107,"Routt County, Colorado",25064
8109,"Saguache County, Colorado",6688
8111,"San Juan County, Colorado",802
8113,"San Miguel County, Colorado",7868
8115,"Sedgwick County, Colorado",2299
8117,"Summit County, Colorado",30465
8119,"Teller County, Colorado",24617
8121,"Washington County, Colorado",4855
8123,"Weld County, Colorado",359442
8125,"Yuma County, Colorado",9862
9110,"Capitol Planning Region, Connecticut",975328
9120,"Greater Bridgeport Planning Region, Connecticut",327651
9130,"Lower Connecticut River Valley Planning Region, Connecticut",176215
9140,"Naugatuck Valley Planning Region, Connecticut",456128
9150,"Northeastern Connecticut Planning Region, Connecticut",96692
9160,"Northwest Hills Planning Region, Connecticut",113463
9170,"South Central Connecticut Planning Region, Connecticut",568158
9180,"Southeastern Connecticut Planning Region, Connecticut",279634
9190,"Western Connecticut Planning Region, Connecticut",623907
10001,"Kent County, Delaware",189789
10003,"New Castle County, Delaware",578592
10005,"Sussex County, Delaware",263509
11001,"District of Columbia, District of Columbia",678972
12001,"Alachua County, Florida",285994
12003,"Baker County, Florida",28368
12005,"Bay County, Florida",190769
12007,"Bradford County, Florida",27858
12009,"Brevard County, Florida",643979
12011,"Broward County, Florida",1962531
12013,"Calhoun County, Florida",13470
12015,"Charlotte County, Florida",206134
12017,"Citrus County, Florida",166696
12019,"Clay County, Florida",232439
12021,"Collier County, Florida",404310
12023,"Columbia County, Florida",73063
12027,"DeSoto County, Florida",35979
12029,"Dixie County, Florida",17465
12031,"Duval County, Florida",1030822
12033,"Escambia County, Florida",326928
12035,"Flagler County, Florida",131439
12037,"Franklin County, Florida",12594
12039,"Gadsden County, Florida",43833
12041,"Gilchrist County, Florida",19587
12043,"Glades County, Florida",12786
12045,"Gulf County, Florida",15693
12047,"Hamilton County, Florida",13471
12049,"Hardee County, Florida",25760
12051,"Hendry County, Florida",43333
12053,"Hernando County, Florida",212807
12055,"Highlands County, Florida",107614
12057,"Hillsborough County, Florida",1535564
12059,"Holmes County, Florida",19944
12061,"Indian River County, Florida",169795
12063,"Jackson County, Florida",48622
12065,"Jefferson County, Florida",15450
12067,"Lafayette County, Florida",8078
12069,"Lake County, Florida",424462
12071,"Lee County, Florida",834573
12073,"Leon County, Florida",296913
12075,"Levy County, Florida",46545
12077,"Liberty County, Florida",7706
12079,"Madison County, Florida",18519
12081,"Manatee County, Florida",441095
12083,"Marion County, Florida",409959
12085,"Martin County, Florida",163315
12086,"Miami-Dade County, Florida",2686867
12087,"Monroe County, Florida",80614
12089,"Nassau County, Florida",101501
12091,"Okaloosa County, Florida",218464
12093,"Okeechobee County, Florida",41427
12095,"Orange County, Florida",1471416
12097,"Osceola County, Florida",437784
12099,"Palm Beach County, Florida",1533801
12101,"Pasco County, Florida",632996
12103,"Pinellas County, Florida",961596
12105,"Polk County, Florida",818330
12107,"Putnam County, Florida",75955
12109,"St. Johns County, Florida",320110
12111,"St. Lucie County, Florida",373586
12113,"Santa Rosa County, Florida",203162
12115,"Sarasota County, Florida",469013
12117,"Seminole County, Florida",484271
12119,"Sumter County, Florida",151565
12121,"Suwannee County, Florida",46130
12123,"Taylor County, Florida",21582
12125,"Union County, Florida",15532
12127,"Volusia County, Florida",590357
12129,"Wakulla County, Florida",36449
12131,"Walton County, Florida",86354
12133,"Washington County, Florida",25602
13001,"Appling County, Georgia",18457
13003,"Atkinson County, Georgia",8293
13005,"Bacon County, Georgia",11124
13007,"Baker County, Georgia",2743
13009,"Baldwin County, Georgia",43396
13011,"Banks County, Georgia",19789
13013,"Barrow County, Georgia",92792
13015,"Bartow County, Georgia",115041
13017,"Ben Hill County, Georgia",17128
13019,"Berrien County, Georgia",18570
13021,"Bibb County, Georgia",156512
13023,"Bleckley County, Georgia",12465
13025,"Brantley County, Georgia",18401
13027,"Brooks County, Georgia",16245
13029,"Bryan County, Georgia",49739
13031,"Bulloch County, Georgia",84327
13033,"Burke County, Georgia",24438
13035,"Butts County, Georgia",26887
13037,"Calhoun County, Georgia",5457
13039,"Camden County, Georgia",58118
13043,"Candler County, Georgia",11059
13045,"Carroll County, Georgia",127098
13047,"Catoosa County, Georgia",68910
13049,"Charlton County, Georgia",12934
13051,"Chatham County, Georgia",303655
13053,"Chattahoochee County, Georgia",8661
13055,"Chattooga County, Georgia",25222
13057,"Cherokee County, Georgia",286602
13059,"Clarke County, Georgia",129933
13061,"Clay County, Georgia",2853
13063,"Clayton County, Georgia",298300
13065,"Clinch County, Georgia",6746
13067,"Cobb County, Georgia",776743
13069,"Coffee County, Georgia",43317
13071,"Colquitt County, Georgia",46167
13073,"Columbia County, Georgia",165162
13075,"Cook County, Georgia",17714
13077,"Coweta County, Georgia",155892
13079,"Crawford County, Georgia",12277
13081,"Crisp County, Georgia",19631
13083,"Dade County, Georgia",16165
13085,"Dawson County, Georgia",31732
13087,"Decatur County, Georgia",29087
13089,"DeKalb County, Georgia",762992
13091,"Dodge County, Georgia",19776
13093,"Dooly County, Georgia",10981
13095,"Dougherty County, Georgia",82645
13097,"Douglas County, Georgia",149160
13099,"Early County, Georgia",10563
13101,"Echols County, Georgia",3709
13103,"Effingham County, Georgia",71541
13105,"Elbert County, Georgia",20013
13107,"Emanuel County, Georgia",23119
13109,"Evans County, Georgia",10754
13111,"Fannin County, Georgia",25955
13113,"Fayette County, Georgia",123351
13115,"Floyd County, Georgia",100113
13117,"Forsyth County, Georgia",272887
13119,"Franklin County, Georgia",24782
13121,"Fulton County, Georgia",1079105
13123,"Gilmer County, Georgia",32860
13125,"Glascock County, Georgia",2954
13127,"Glynn County, Georgia",86172
13129,"Gordon County, Georgia",59757
13131,"Grady County, Georgia",26066
13133,"Greene County, Georgia",20722
13135,"Gwinnett County, Georgia",983526
13137,"Habersham County, Georgia",48757
13139,"Hall County, Georgia",217267
13141,"Hancock County, Georgia",8676
13143,"Haralson County, Georgia",32038
13145,"Harris County, Georgia",36654
13147,"Hart County, Georgia",27556
13149,"Heard County, Georgia",12034
13151,"Henry County, Georgia",254613
13153,"Houston County, Georgia",171974
13155,"Irwin County, Georgia",9120
13157,"Jackson County, Georgia",88615
13159,"Jasper County, Georgia",16455
13161,"Jeff Davis County, Georgia",14906
13163,"Jefferson County, Georgia",15183
13165,"Jenkins County, Georgia",8627
13167,"Johnson County, Georgia",9282
13169,"Jones County, Georgia",28969
13171,"Lamar County, Georgia",20401
13173,"Lanier County, Georgia",10452
13175,"Laurens County, Georgia",49941
13177,"Lee County, Georgia",33872
13179,"Liberty County, Georgia",69210
13181,"Lincoln County, Georgia",7879
13183,"Long County, Georgia",19594
13185,"Lowndes County, Georgia",120712
13187,"Lumpkin County, Georgia",35258
13189,"McDuffie County, Georgia",21799
13191,"McIntosh County, Georgia",11501
13193,"Macon County, Georgia",11817
13195,"Madison County, Georgia",32191
13197,"Marion County, Georgia",7440
13199,"Meriwether County, Georgia",20931
13201,"Miller County, Georgia",5747
13205,"Mitchell County, Georgia",21114
13207,"Monroe County, Georgia",30625
13209,"Montgomery County, Georgia",8761
13211,"Morgan County, Georgia",21460
13213,"Murray County, Georgia",41035
13215,"Muscogee County, Georgia",201877
13217,"Newton County, Georgia",120135
13219,"Oconee County, Georgia",44182
13221,"Oglethorpe County, Georgia",15754
13223,"Paulding County, Georgia",183164
13225,"Peach County, Georgia",28805
13227,"Pickens County, Georgia",35969
13229,"Pierce County, Georgia",20425
13231,"Pike County, Georgia",20461
13233,"Polk County, Georgia",44223
13235,"Pulaski County, Georgia",10095
13237,"Putnam County, Georgia",23129
13239,"Quitman County, Georgia",2280
13241,"Rabun County, Georgia",17442
13243,"Randolph County, Georgia",6078
13245,"Richmond County, Georgia",205414
13247,"Rockdale County, Georgia",95987
13249,"Schley County, Georgia",4526
13251,"Screven County, Georgia",14174
13253,"Seminole County, Georgia",9092
13255,"Spalding County, Georgia",69946
13257,"Stephens County, Georgia",27228
13259,"Stewart County, Georgia",4674
13261,"Sumter County, Georgia",28890
13263,"Talbot County, Georgia",5718
13265,"Taliaferro County, Georgia",1609
13267,"Tattnall County, Georgia",24296
13269,"Taylor County, Georgia",7758
13271,"Telfair County, Georgia",10920
13273,"Terrell County, Georgia",8718
13275,"Thomas County, Georgia",45649
13277,"Tift County, Georgia",41554
13279,"Toombs County, Georgia",27040
13281,"Towns County, Georgia",13035
13283,"Treutlen County, Georgia",6341
13285,"Troup County, Georgia",70742
13287,"Turner County, Georgia",8909
13289,"Twiggs County, Georgia",7691
13291,"Union County, Georgia",27124
13293,"Upson County, Georgia",28263
13295,"Walker County, Georgia",69489
13297,"Walton County, Georgia",106702
13299,"Ware County, Georgia",36243
13301,"Warren County, Georgia",5106
13303,"Washington County, Georgia",19820
13305,"Wayne County, Georgia",31373
13307,"Webster County, Georgia",2337
13309,"Wheeler County, Georgia",7081
13311,"White County, Georgia",29026
13313,"Whitfield County, Georgia",103687
13315,"Wilcox County, Georgia",8779
13317,"Wilkes County, Georgia",9518
13319,"Wilkinson County, Georgia",8725
13321,"Worth County, Georgia",20273
15001,"Hawaii County, Hawaii",207615
15003,"Honolulu County, Hawaii",989408
15005,"Kalawao County, Hawaii",81
15007,"Kauai County, Hawaii",73851
15009,"Maui County, Hawaii",164183
16001,"Ada County, Idaho",524673
16003,"Adams County, Idaho",4903
16005,"Bannock County, Idaho",90400
16007,"Bear Lake County, Idaho",6766
16009,"Benewah County, Idaho",10369
16011,"Bingham County, Idaho",50395
16013,"Blaine County, Idaho",25041
16015,"Boise County, Idaho",8517
16017,"Bonner County, Idaho",52547
16019,"Bonneville County, Idaho",131366
16021,"Boundary County, Idaho",13557
16023,"Butte County, Idaho",2758
16025,"Camas County, Idaho",1232
16027,"Canyon County, Idaho",257674
16029,"Caribou County, Idaho",7219
16031,"Cassia County, Idaho",25696
16033,"Clark County, Idaho",801
16035,"Clearwater County, Idaho",9214
16037,"Custer County, Idaho",4523
16039,"Elmore County, Idaho",29724
16041,"Franklin County, Idaho",15494
16043,"Fremont County, Idaho",14196
16045,"Gem County, Idaho",21071
16047,"Gooding County, Idaho",16061
16049,"Idaho County, Idaho",17890
16051,"Jefferson County, Idaho",34198
16053,"Jerome County, Idaho",25479
16055,"Kootenai County, Idaho",185010
16057,"Latah County, Idaho",41301
16059,"Lemhi County, Idaho",8441
16061,"Lewis County, Idaho",3739
16063,"Lincoln County, Idaho",5450
16065,"Madison County, Idaho",54547
16067,"Minidoka County, Idaho",22480
16069,"Nez Perce County, Idaho",42987
16071,"Oneida County, Idaho",4953
16073,"Owyhee County, Idaho",12722
16075,"Payette County, Idaho",27279
16077,"Power County, Idaho",8253
16079,"Shoshone County, Idaho",14026
16081,"Teton County, Idaho",12549
16083,"Twin Falls County, Idaho",95156
16085,"Valley County, Idaho",12644
16087,"Washington County, Idaho",11425
17001,"Adams County, Illinois",64441
17003,"Alexander County, Illinois",4695
17005,"Bond County, Illinois",16450
17007,"Boone County, Illinois",53202
17009,"Brown County, Illinois",6294
17011,"Bureau County, Illinois",32729
17013,"Calhoun County, Illinois",4317
17015,"Carroll County, Illinois",15526
17017,"Cass County, Illinois",12596
17019,"Champaign County, Illinois",205644
17021,"Christian County, Illinois",33228
17023,"Clark County, Illinois",15088
17025,"Clay County, Illinois",12999
17027,"Clinton County, Illinois",36785
17029,"Coles County, Illinois",46060
17031,"Cook County, Illinois",5087072
17033,"Crawford County, Illinois",18300
17035,"Cumberland County, Illinois",10261
17037,"DeKalb County, Illinois",100288
17039,"De Witt County, Illinois",15365
17041,"Douglas County, Illinois",19629
17043,"DuPage County, Illinois",921213
17045,"Edgar County, Illinois",16334
17047,"Edwards County, Illinois",5968
17049,"Effingham County, Illinois",34331
17051,"Fayette County, Illinois",21164
17053,"Ford County, Illinois",13250
17055,"Franklin County, Illinois",37138
17057,"Fulton County, Illinois",32541
17059,"Gallatin County, Illinois",4670
17061,"Greene County, Illinois",11543
17063,"Grundy County, Illinois",53578
17065,"Hamilton County, Illinois",7911
17067,"Hancock County, Illinois",17186
17069,"Hardin County, Illinois",3569
17071,"Henderson County, Illinois",6088
17073,"Henry County, Illinois",48448
17075,"Iroquois County, Illinois",26136
17077,"Jackson County, Illinois",52141
17079,"Jasper County, Illinois",9144
17081,"Jefferson County, Illinois",36320
17083,"Jersey County, Illinois",21091
17085,"Jo Daviess County, Illinois",21756
17087,"Johnson County, Illinois",13326
17089,"Kane County, Illinois",514982
17091,"Kankakee County, Illinois",105940
17093,"Kendall County, Illinois",139976
17095,"Knox County, Illinois",48411
17097,"Lake County, Illinois",708760
17099,"LaSalle County, Illinois",108309
17101,"Lawrence County, Illinois",14813
17103,"Lee County, Illinois",33654
17105,"Livingston County, Illinois",35320
17107,"Logan County, Illinois",27590
17109,"McDonough County, Illinois",26839
17111,"McHenry County, Illinois",312800
17113,"McLean County, Illinois",170441
17115,"Macon County, Illinois",100591
17117,"Macoupin County, Illinois",44018
17119,"Madison County, Illinois",262752
17121,"Marion County, Illinois",36673
17123,"Marshall County, Illinois",11683
17125,"Mason County, Illinois",12523
17127,"Massac County, Illinois",13661
17129,"Menard County, Illinois",11954
17131,"Mercer County, Illinois",15487
17133,"Monroe County, Illinois",34957
17135,"Montgomery County, Illinois",27663
17137,"Morgan County, Illinois",32140
17139,"Moultrie County, Illinois",14342
17141,"Ogle County, Illinois",51265
17143,"Peoria County, Illinois",177513
17145,"Perry County, Illinois",20503
17147,"Piatt County, Illinois",16714
17149,"Pike County, Illinois",14342
17151,"Pope County, Illinois",3707
17153,"Pulaski County, Illinois",4911
17155,"Putnam County, Illinois",5561
17157,"Randolph County, Illinois",29815
17159,"Richland County, Illinois",15488
17161,"Rock Island County, Illinois",141236
17163,"St. Clair County, Illinois",251018
17165,"Saline County, Illinois",22873
17167,"Sangamon County, Illinois",193491
17169,"Schuyler County, Illinois",6733
17171,"Scott County, Illinois",4710
17173,"Shelby County, Illinois",20568
17175,"Stark County, Illinois",5218
17177,"Stephenson County, Illinois",43105
17179,"Tazewell County, Illinois",129541
17181,"Union County, Illinois",16667
17183,"Vermilion County, Illinois",71652
17185,"Wabash County, Illinois",10942
17187,"Warren County, Illinois",16185
17189,"Washington County, Illinois",13536
17191,"Wayne County, Illinois",15761
17193,"White County, Illinois",13401
17195,"Whiteside County, Illinois",54498
17197,"Will County, Illinois",700728
17199,"Williamson County, Illinois",66706
17201,"Winnebago County, Illinois",280922
17203,"Woodford County, Illinois",38285
18001,"Adams County, Indiana",36288
18003,"Allen County, Indiana",394545
18005,"Bartholomew County, Indiana",84003
18007,"Benton County, Indiana",8729
18009,"Blackford County, Indiana",11893
18011,"Boone County, Indiana",76120
18013,"Brown County, Indiana",15653
18015,"Carroll County, Indiana",20525
18017,"Cass County, Indiana",37666
18019,"Clark County, Indiana",125467
18021,"Clay County, Indiana",26460
18023,"Clinton County, Indiana",32730
18025,"Crawford County, Indiana",10438
18027,"Daviess County, Indiana",33656
18029,"Dearborn County, Indiana",51215
18031,"Decatur County, Indiana",26399
18033,"DeKalb County, Indiana",44198
18035,"Delaware County, Indiana",112321
18037,"Dubois County, Indiana",43546
18039,"Elkhart County, Indiana",206409
18041,"Fayette County, Indiana",23362
18043,"Floyd County, Indiana",80809
18045,"Fountain County, Indiana",16731
18047,"Franklin County, Indiana",23096
18049,"Fulton County, Indiana",20358
18051,"Gibson County, Indiana",32904
18053,"Grant County, Indiana",66200
18055,"Greene County, Indiana",31196
18057,"Hamilton County, Indiana",371645
18059,"Hancock County, Indiana",86166
18061,"Harrison County, Indiana",40006
18063,"Hendricks County, Indiana",186387
18065,"Henry County, Indiana",48929
18067,"Howard County, Indiana",83831
18069,"Huntington County, Indiana",36781
18071,"Jackson County, Indiana",46460
18073,"Jasper County, Indiana",33535
18075,"Jay County, Indiana",20032
18077,"Jefferson County, Indiana",33056
18079,"Jennings County, Indiana",27622
18081,"Johnson County, Indiana",167819
18083,"Knox County, Indiana",36070
18085,"Kosciusko County, Indiana",80364
18087,"LaGrange County, Indiana",40907
18089,"Lake County, Indiana",500598
18091,"LaPorte County, Indiana",111706
18093,"Lawrence County, Indiana",45084
18095,"Madison County, Indiana",132504
18097,"Marion County, Indiana",968460
18099,"Marshall County, Indiana",46352
18101,"Martin County, Indiana",9897
18103,"Miami County, Indiana",35402
18105,"Monroe County, Indiana",139342
18107,"Montgomery County, Indiana",38573
18109,"Morgan County, Indiana",73227
18111,"Newton County, Indiana",13960
18113,"Noble County, Indiana",47430
18115,"Ohio County, Indiana",6004
18117,"Orange County, Indiana",19638
18119,"Owen County, Indiana",21532
18121,"Parke County, Indiana",16484
18123,"Perry County, Indiana",19209
18125,"Pike County, Indiana",12106
18127,"Porter County, Indiana",175335
18129,"Posey County, Indiana",25040
18131,"Pulaski County, Indiana",12385
18133,"Putnam County, Indiana",37567
18135,"Randolph County, Indiana",24216
18137,"Ripley County, Indiana",29227
18139,"Rush County, Indiana",16847
18141,"St. Joseph County, Indiana",272848
